workload,strategy,run,cost_usd,latency_sec,hypervolume,overhead_sec,n_pareto
Low,NSGA-III,0,0.0755689550107735,2253.2115114213075,128.63909257112417,2.265,6
Low,NSGA-III,1,0.07552782770861638,2253.5183365994803,127.77722988958314,2.312,5
Low,NSGA-III,2,0.07555028585369433,2253.161995897293,127.45724972554936,2.211,4
Low,NSGA-III,3,0.07556488370975524,2253.144570153469,128.64987491825397,2.2,6
Low,NSGA-III,4,0.07554883017605572,2253.140268870776,128.67702095989904,2.103,6
Low,NSGA-III,5,0.07555362230670815,2253.2009021740982,128.66098843330906,2.242,6
Low,NSGA-III,6,0.0755581708053485,2253.193221051509,128.65692204675148,2.276,6
Low,NSGA-III,7,0.07554898933388444,2253.1361884399703,128.64483444061042,2.141,6
Low,NSGA-III,8,0.0755270985652754,2253.4933568979523,126.45215994120792,2.136,3
Low,NSGA-III,9,0.07552573335645314,2253.5322466295092,128.66793934639418,2.158,6
Low,NSGA-III,10,0.07553800714953054,2253.686069283924,128.6410413124303,2.167,6
Low,NSGA-III,11,0.07553500454278497,2253.564169814689,128.6588555016558,2.205,6
Low,NSGA-III,12,0.07555700895250372,2253.161140917609,128.66669155149836,2.228,6
Low,NSGA-III,13,0.07555520551983612,2253.1475169866108,128.67385434605714,2.046,6
Low,NSGA-III,14,0.07557482998623657,2253.190443215575,128.61273416352,2.154,6
Low,NSGA-III,15,0.07555096125473856,2253.1903783454427,128.27718071577308,2.129,5
Low,NSGA-III,16,0.07556331261975333,2253.228431022156,128.64537022800369,2.312,6
Low,NSGA-III,17,0.07552845633366587,2253.5533539958515,128.60844663141924,2.26,6
Low,NSGA-III,18,0.07555681594078513,2253.140988944376,128.67340173335143,2.291,6
Low,NSGA-III,19,0.07554269663784845,2253.644183637181,127.43554387844524,2.108,4
Low,NSGA-III,20,0.09604142236035054,1914.5170224808471,112.42663573852289,2.115,3
Low,NSGA-III,21,0.07555971930586429,2253.174456292615,128.66167981806268,2.288,6
Low,NSGA-III,22,0.07555092601480945,2253.146815768144,127.8394080549656,2.383,5
Low,NSGA-III,23,0.07555185250068998,2253.172443740867,127.37750742487106,2.299,4
Low,NSGA-III,24,0.07555927534551608,2253.3379706804103,128.63420635797038,2.194,6
Low,NSGA-III,25,0.07555313211062904,2253.2097859201845,128.66249651946427,2.12,6
Low,NSGA-III,26,0.07556624916208127,2253.2198492069615,128.63996436534825,2.236,6
Low,NSGA-III,27,0.07555421724436306,2253.1976269661413,128.662447761201,2.477,6
Low,NSGA-III,28,0.07555025752758669,2253.128734435732,128.6765317314143,2.321,6
Low,NSGA-III,29,0.07555829349868337,2253.2392685707696,128.64732920766966,2.409,6
