timestamp,event,task_id,vmi_name,vmi_type,namespace,cpu,mem_gb,duration_sec,status,notes
2026-04-02T08:04:42.767684,deploy,tweet_ingest,task-tweet-ingest,medium,speed-layer,1.95,0.65,0.0313,SUCCESS,
2026-04-02T08:04:42.790488,deploy,stream_classify,task-stream-classify,medium,speed-layer,1.1,0.75,0.0226,SUCCESS,
2026-04-02T08:04:42.844550,deploy,batch_retrain,task-batch-retrain,large,batch-layer,1.48,1.49,0.0539,SUCCESS,
2026-04-02T08:04:42.910900,deploy,result_store,task-result-store,small,serve-layer,1.0,0.5,0.0662,SUCCESS,
2026-04-02T08:04:42.993469,deploy,serving_api,task-serving-api,medium,serve-layer,1.31,0.91,0.0824,SUCCESS,
2026-04-02T08:05:06.303486,deploy,tweet_ingest,task-tweet-ingest,medium,speed-layer,1.91,0.88,0.0258,SUCCESS,
2026-04-02T08:05:06.325683,deploy,stream_classify,task-stream-classify,medium,speed-layer,1.19,0.55,0.022,SUCCESS,
2026-04-02T08:05:06.403345,deploy,batch_retrain,task-batch-retrain,large,batch-layer,1.19,1.15,0.0775,SUCCESS,
2026-04-02T08:05:06.467046,deploy,result_store,task-result-store,small,serve-layer,1.0,0.5,0.0635,SUCCESS,
2026-04-02T08:05:06.526727,deploy,serving_api,task-serving-api,medium,serve-layer,1.26,0.94,0.0595,SUCCESS,
2026-04-02T08:05:36.381887,deploy,tweet_ingest,task-tweet-ingest,medium,speed-layer,1.09,0.54,0.0275,SUCCESS,
2026-04-02T08:05:36.405800,deploy,stream_classify,task-stream-classify,medium,speed-layer,1.14,0.57,0.0238,SUCCESS,
2026-04-02T08:05:36.440512,deploy,batch_retrain,task-batch-retrain,large,batch-layer,1.49,1.39,0.0345,SUCCESS,
2026-04-02T08:05:36.494674,deploy,result_store,task-result-store,small,serve-layer,1.0,0.5,0.054,SUCCESS,
2026-04-02T08:05:36.562539,deploy,serving_api,task-serving-api,medium,serve-layer,1.1,0.82,0.0677,SUCCESS,
2026-04-02T08:06:06.570315,deploy,tweet_ingest,task-tweet-ingest,medium,speed-layer,1.05,0.75,0.0285,SUCCESS,
2026-04-02T08:06:06.589049,deploy,stream_classify,task-stream-classify,medium,speed-layer,1.26,0.7,0.0186,SUCCESS,
2026-04-02T08:06:06.634031,deploy,batch_retrain,task-batch-retrain,large,batch-layer,1.37,1.44,0.0448,SUCCESS,
2026-04-02T08:06:06.688772,deploy,result_store,task-result-store,small,serve-layer,1.0,0.5,0.0546,SUCCESS,
2026-04-02T08:06:06.759079,deploy,serving_api,task-serving-api,medium,serve-layer,1.32,0.94,0.0701,SUCCESS,
2026-04-02T08:06:36.078941,deploy,tweet_ingest,task-tweet-ingest,medium,speed-layer,1.38,0.79,0.0279,SUCCESS,
2026-04-02T08:06:36.096346,deploy,stream_classify,task-stream-classify,medium,speed-layer,1.15,0.64,0.0173,SUCCESS,
2026-04-02T08:06:36.130029,deploy,batch_retrain,task-batch-retrain,large,batch-layer,1.7,1.45,0.0335,SUCCESS,
2026-04-02T08:06:36.187037,deploy,result_store,task-result-store,small,serve-layer,1.0,0.5,0.0569,SUCCESS,
2026-04-02T08:06:36.268445,deploy,serving_api,task-serving-api,medium,serve-layer,1.3,0.64,0.0813,SUCCESS,
2026-04-02T08:07:04.973163,deploy,tweet_ingest,task-tweet-ingest,medium,speed-layer,1.32,0.54,0.027,SUCCESS,
2026-04-02T08:07:04.996695,deploy,stream_classify,task-stream-classify,medium,speed-layer,1.13,0.63,0.0234,SUCCESS,
